playerid,PlayerName,role,ERA,K9,WHIP,Ks,IP_atc,z_ERA,z_K9,z_WHIP,z_IP,composite
16977,Trevor Williams,SP,5.6272826872635875,6.86658399883404,1.4976565599662581,21.06042348744612,27.6038,-1.6752813593764215,-1.1269223619606172,-1.4414394883933523,-1.436867833353968,-1.4201277607710896
17085,Pablo López,SP,3.520143946989668,9.844266707047595,1.1159139372311084,173.2536250069782,158.395,0.9227636243696076,1.1927626624045493,1.1588344193579514,1.1283126404720694,1.1006683366510444
17277,Ranger Suárez,SP,3.4416856272565313,8.750547325866226,1.134130307313906,160.75727720652466,165.34,1.0195006071414776,0.3407294815736509,1.0347519905192333,1.26452347415753,0.9148763883479729
17282,Michael Kopech,SP,4.522150091078669,8.734011725707298,1.4680160222025163,39.06218813120278,40.2518,-0.3126828066493186,0.3278478592464124,-1.2395403229122994,-1.1888052524391075,-0.6032951306885783
17295,Framber Valdez,SP,3.4921040182548175,8.563869126458158,1.1741818559172539,155.6873345549531,163.616,0.9573360968897152,0.19530276355971404,0.7619372965452417,1.230711022426251,0.7863217948552305
17312,Justin Steele,SP,3.261675155398591,9.246930992731526,1.09531298119702,79.84622168545975,77.714,1.2414486424053923,0.7274240596060142,1.2991596679936988,-0.4540669524115386,0.7034913543983917
17425,Erick Fedde,SP,4.695144528413974,6.710951742162163,1.4109090064534668,21.149191584771717,28.363,-0.5259802614132747,-1.248163558718783,-0.8505507939520502,-1.4219778024059477,-1.011668104122514
17432,Jeff Hoffman,SP,5.279241076827685,7.882431283821411,1.4811586999525255,55.828633306212446,63.744,-1.2461554822591232,-0.3355533797895933,-1.3290628440981054,-0.7280576430646539,-0.909707337302869
17479,Jack Flaherty,SP,4.61906448601586,9.379911359812695,1.3335335116711489,165.41161019317693,158.712,-0.43217563016725175,0.8310189003866951,-0.32350071308801753,1.1345298952277625,0.3024681130897971
17578,JT Brubaker,SP,4.984630080916568,8.441120194273367,1.3870464639489968,46.06600660688118,49.116,-0.882908105399733,0.09967845175494719,-0.6880089582974311,-1.0149535502138145,-0.6215480405390079
17594,Mitch Keller,SP,3.816613176566533,8.276348544475312,1.1917586229127537,161.52673575967648,175.65,0.5572250957404503,-0.028682547696804544,0.6422115811573327,1.466731349650273,0.6593713697128128
17606,Cristian Javier,SP,4.5097088221121115,8.431081819697372,1.3654567239245532,130.36232388302963,139.159,-0.29734305905120945,0.09185832131973584,-0.5409485193596403,0.751040992268538,0.001151933794356047
17611,Taylor Clarke,SP,4.754287835096154,7.408341997645227,1.3768113666438655,49.052525609364,59.5913,-0.5989023563427313,-0.7048801097065791,-0.6182916805275522,-0.8095036803642383,-0.6828944567352752
17677,Jeffrey Springs,SP,4.099086792807425,7.721258066207067,1.2595927325125524,139.26146839967356,162.325,0.2089427792092436,-0.4611111157422745,0.1801534960944155,1.2053909092098458,0.2833440171928076
17732,Nabil Crismatt,SP,4.482417283474718,7.256467851198369,1.3177218701205868,4.709286380586604,5.8408,-0.2636933312471573,-0.8231936500073113,-0.21579830703217653,-1.8637010044837998,-0.7915965731926112
17735,Tyler Alexander,SP,4.956185832083318,6.441191242218763,1.3840718056459598,55.43954772815164,77.4633,-0.8478371171514504,-1.4583133473977075,-0.6677468080705509,-0.45898387912211375,-0.8582202879354557
17874,Nestor Cortes,SP,4.780330074751791,7.710341190401624,1.3593151687950842,9.763862060778589,11.397,-0.6310117323461568,-0.46961561934465257,-0.49911476906538993,-1.7547284149772258,-0.8386176339333562
17948,Trent Thornton,SP,4.519242528652397,8.273958212105429,1.3431328525840351,31.07524032015655,33.8021,-0.3090978609444511,-0.030544672961654914,-0.3888874795133781,-1.3153018707286852,-0.5109579710370423
17964,Tyler Gilbert,SP,4.4543962593115385,6.880421781852136,1.335607929448447,40.47423403000701,52.9427,-0.2291441675517892,-1.1161424027833178,-0.33763079471588536,-0.9399012827891704,-0.6557046619600406
17968,Brock Burke,SP,5.984443967295018,6.358486944763525,1.5724906982248896,44.46836104762348,62.9419,-2.11565154205046,-1.522741944752412,-1.9511788927301266,-0.7437890627477509,-1.5833403605701872
17995,Logan Webb,SP,3.3400663447011905,8.619225804725179,1.0936726168383257,186.84374622780814,195.098,1.144794429635792,0.2384269208852768,1.3103331560641598,1.848160909551618,1.1354288540342117
18000,Triston McKenzie,SP,4.275703714476434,8.705609957715444,1.3229017871850752,22.523250811600928,23.2849,-0.008821100603997298,0.30572221244916736,-0.25108177391517567,-1.5215735165223105,-0.36893854464807907
18383,Michael Soroka,SP,4.154550508790035,8.537995232422533,1.256764865273948,126.3680214366751,133.206,0.14055751993115553,0.1751463901654317,0.19941576589924512,0.6342860472822821,0.28735143081952863
18525,Dylan Cease,SP,3.6444460567162547,11.191304359111449,1.1932781428304864,214.7760523904942,172.722,0.7695024904576442,2.242136747873577,0.6318612357699641,1.4093050975219752,1.2632013929057901
18679,Freddy Peralta,SP,3.3054092056075564,10.327681143951878,1.1350221917320067,189.40852465995033,165.059,1.187525743266094,1.56935390456599,1.0286768402923583,1.2590122798788237,1.2611421920008166
18684,Sandy Alcantara,SP,4.225746654560742,7.538004759564239,1.264898218181732,145.4399389432012,173.648,0.05277460092052175,-0.6038697615550772,0.1440147074659115,1.4274665420133696,0.2550965222111814
18694,Kolby Allard,SP,4.899360964490243,7.471325055211024,1.3697875173974152,35.08011253173232,42.2577,-0.777773594811659,-0.6558148231261423,-0.5704481051974934,-1.1494639549171974,-0.788375119513123
19291,Zac Gallen,SP,4.288189023748043,8.345972272199216,1.2789671580390578,147.56235375399694,159.126,-0.024215148705170265,0.025555977481223124,0.04818286935830909,1.1426495907131162,0.2980433222118695
19312,Cal Quantrill,SP,5.676942223079187,6.020160307484266,1.5493591659020436,48.336536015492,72.262,-1.736510221745542,-1.7863063707658762,-1.793616398098415,-0.5609958890930551,-1.469357219925722
19316,Eric Lauer,SP,3.666674923235818,8.846732518675257,1.1884931491280804,60.897367965553,61.9524,0.7420949002255913,0.41566001420203996,0.6644546469640636,-0.7631959194693871,0.26475341048057693
19320,Joey Lucchesi,SP,4.0297836111654455,7.757153424151483,1.255550862093836,36.07929629107096,41.8599,0.29439172473011527,-0.4331477857211781,0.20768505679098415,-1.1572659231879068,-0.27208423184699637
19350,Dean Kremer,SP,3.687855554003117,8.19471414571455,1.1839751649657058,139.10345157591652,152.773,0.7159797562790639,-0.09227766874716119,0.6952292988718936,1.0180495293158904,0.5842452289299216
19361,Corbin Burnes,SP,3.6791888169926237,8.130785252122532,1.1944152705964628,35.39059794073867,39.174,0.7266656082285331,-0.1420797838887724,0.6241155886151809,-1.2099439186084653,-3.106264133809211e-4
19362,Keegan Akin,SP,5.463331533239284,7.699767433615366,1.4829183219622784,56.05268141026166,65.5181,-1.4731340279497107,-0.47785282514253846,-1.341048666290771,-0.6932625905029007,-0.9963245274714803
19374,Walker Buehler,SP,5.832756913505022,6.635475298116568,1.575303528896725,76.11479986966204,103.238,-1.928625513974547,-1.306961487880934,-1.9703387396198737,0.04652992577243537,-1.2898489539257298
19388,Tony Gonsolin,SP,4.618896193736109,7.612129001473345,1.4066459002627214,13.772963319210232,16.2841,-0.4319681303454064,-0.5461252297335077,-0.8215122660707681,-1.6588787439471013,-0.86462109252419594
19407,Ronel Blanco,SP,3.2265547481283936,9.168313174907677,1.162879328948433,19.203541295576066,18.851,1.2847511531473252,0.6661789262171507,0.8389254666324758,-1.6085346706588064,0.29533021883453636
19409,Dane Dunning,SP,4.582749370534994,7.72738367041521,1.359936044735605,13.642524150480932,15.8893,-0.38740007656656367,-0.45633912566165824,-0.5033439208863723,-1.6666218738447283,-0.7534262492398306
19427,Shane Bieber,SP,3.6268879073388507,8.158405024576696,1.1514102568096154,118.45460202017058,130.674,0.7911512129845234,-0.12056333004982853,0.917048073992921,0.5846264604008444,0.5430656043321151
19447,Patrick Sandoval,SP,4.504427873018315,8.359177766586113,1.3778891039858294,68.72832367909436,73.9971,-0.2908317918810314,0.03584336890950624,-0.6256327845144191,-0.5269657353813714,-0.3518967357168289
19479,Aaron Civale,SP,4.601679566584094,8.037366008774574,1.3276330533153506,95.96436406343314,107.458,-0.41074049547049357,-0.21485557668363087,-0.2833092149618049,0.12929590390816526,-0.19490234580194102
19618,Jordan Hicks,SP,4.413533764451002,8.073123876168786,1.3419782812577632,50.81197257247713,56.6457,-0.17876181836581986,-0.18699935504228873,-0.38102301399251937,-0.8672751176146188,-0.40351482625381174
19666,Jason Alexander,SP,4.9908084142715765,6.918734217293286,1.4214727297466543,48.751400040489045,63.4166,-0.8905258230535807,-1.0862961124130748,-0.9225065369371281,-0.7344788708470326,-0.908451835812704
19716,Dustin May,SP,4.564962493980927,7.95723706838478,1.368223223066763,121.09411784413162,136.963,-0.36546933962714506,-0.27727791017394754,-0.5597927749048103,0.7079713031723147,-0.12364218038339708
19755,Shohei Ohtani,SP,2.915454666283224,11.198057050951588,1.037334970626588,134.37668461141905,108,1.6683291262691864,2.2473972540022245,1.6940820558304344,0.13992603664502917,1.4374336181867187
19795,Keegan Thompson,SP,4.14207889138513,8.5034784905747145,1.2859633891499942,30.06159164297407,31.8169,0.15593468633159976,0.1482570345825127,5.274174205060236e-4,-1.3542371834763274,-0.26237951128542725
19853,Michael King,SP,3.4213930610052863,9.894705101960149,1.1548689902058369,174.96257325957131,159.142,1.0445207915976409,1.2320553610553946,0.8934886031127135,1.1429633953695548,1.078257037783826
19867,Griffin Canning,SP,4.815025827262568,7.704534126005272,1.392836439777727,100.54845064110546,117.455,-0.6737906552737476,-0.47413945940275726,-0.7274478948408194,0.3253649758093245,-0.38750325842699995
19879,Tanner Houck,SP,4.962193802643891,7.258281937755153,1.3978681813360074,18.159737522800874,22.5174,-0.855244782094937,-0.821780433815047,-0.7617220510531891,-1.5366263336358585,-0.9938434001497579
19899,Clarke Schmidt,SP,3.458312924821129,9.148365927179935,1.1444095513080432,30.628627475688123,30.1319,0.9989995996827378,0.65063955000903,0.9647340036414391,-1.3872847363575371,0.3067721042439175
19911,José Suarez,SP,4.553088871383478,8.124724365148552,1.3294260378307041,17.52385688432824,19.4117,-0.35082948462443886,-0.1468013577183584,-0.29552228883569187,-1.5975377787297296,-0.5976727274770547
19959,Jesús Luzardo,SP,3.6263928425129337,10.173705848379138,1.148038200220015,192.32486576952016,170.137,0.7917616145034265,1.4494035195645703,0.9400171380774479,1.3586060327160836,1.134947076215382
19962,Joey Wentz,SP,5.26146782874614,7.849046382246783,1.4565457124184653,52.263224182696085,59.9269,-1.2242415488571248,-0.36156100511816003,-1.1614092852210087,-0.8029216276954346,-0.8875333667229321
20000,Tyler Wells,SP,3.501338196098971,8.473372874070652,1.1478895620600773,81.69649530828964,86.774,0.9459506057644832,0.12480404962843322,0.9410296001552024,-0.2763750657030758,0.43385229746126075
20070,Bailey Falter,SP,4.599479270389977,6.647600378518039,1.353545648668719,50.8021438882577,68.7796,-0.40802758986982146,-1.2975157644165327,-0.45981516836232145,-0.6292954725669568,-0.698663498803908
20099,Chris Paddack,SP,5.498803203987534,6.6109830725601295,1.443532785557322,70.13547868458558,95.4804,-1.5168696370442507,-1.326041508959046,-1.07277057378222,-0.10561826190191013,-1.0053249954218566
20203,Eli Morgan,SP,4.615939550601132,7.728939245433522,1.3167291390617846,29.56576892686503,34.428,-0.42832266945631625,-0.455127296051908,-0.20903623092151705,-1.3030262248246203,-0.5988781053135903
20253,Griffin Jax,SP,5.228423374922096,7.12525531451865,1.447086493760347,52.665216284215674,66.5221,-1.183498632476107,-0.9254113092311563,-1.0969769740261321,-0.673571348311367,-0.9698645660111906
