Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Matt Svanson","STL",3.14821,2.08131,0,3.65488,58.6296,0,4.52951,10.0464,0,66.6223,281.207,60.6945,29.4078,27.0552,5.95182,24.0571,1.0429,3.70267,62.4366,8.43456,3.24987,2.59535,0.804031,0.222031,0.0855495,0.13648144155740738,0.239476,1.27212,0.295813,0.724215,,,3.67219,0.529941,0.617578,694.6199951171875,5.0174,3.62099,0.843099,5.0174,-3.62099,3.87587,368.4,5.498507462686566,362,5.402985074626866,,,,,,,,,,,,,,,,,,,"Matt Svanson","29629",694335
"Camilo Doval","NYY",4.11944,3.59032,0,3.66726,62.0651,0,4.75326,15.994,4.66113,63.8377,273.081,52.9689,28.2741,26.0122,5.4712,30.7647,1.62091,3.57999,71.0814,10.0212,4.33728,2.31049,0.771344,0.260294,0.112658,0.14763614535331726,0.221872,1.31166,0.292863,0.729021,,,3.63636,0.522993,0.55881,999,1.89617,-1.88852,0.692559,1.89617,1.88852,4.07659,400.3,6.2546875,381,5.953125,,,,,,,,,,,,,,,,,,,"Camilo Doval","21992",666808
"Jake Irvin","WSN",6.5744,9.42647,8.72124,4.87444,29.4171,24.4905,0,0.293483,0,142.989,615.688,146.689,84.1774,77.4432,23.7364,47.2017,0.638192,5.70057,105.898,6.66545,2.97098,2.24352,1.49402,0.171999,0.076665,0.09533451497554779,0.260648,1.35599,0.283857,0.682893,,,4.92188,0.51993,0.544603,999,2.33021,-0.797006,1.26556,2.33021,0.797006,3.31259,433.8,3.033566433566434,456,3.1888111888111887,,,,,,,,,,,,,,,,,,,"Jake Irvin","21504",663623
"Cole Sands","MIN",3.68318,3.2773,0,3.99789,62.1072,0.207985,3.8607,13.3512,2.06827,66.9463,280.242,61.9974,32.3242,29.7382,7.64615,20.1883,1.25649,3.6036,65.2301,8.76927,2.71403,3.23108,1.02792,0.232763,0.0720388,0.1607246771454811,0.241752,1.22764,0.296073,0.697549,,,3.73734,0.510952,0.285717,710.3800048828125,1.00846,-3.38299,0.692029,1.00846,3.38299,4.07729,366.2,5.465671641791045,361,5.388059701492537,,,,,,,,,,,,,,,,,,,"Cole Sands","21461",663485
"Robert Garcia","TEX",3.52854,4.22793,0,3.65015,62.4761,0,16.1842,11.0917,4.89313,62.395,260.243,54.6145,27.5062,25.3057,7.05091,22.1169,1.61088,2.10544,67.0151,9.66642,3.19019,3.03005,1.01704,0.25751,0.0849854,0.17252417653799057,0.231397,1.22977,0.293685,0.736242,,,3.62073,0.509391,0.367304,261.760009765625,3.11862,-0.402293,1.27534,3.11862,0.402293,3.29955,415.69999999999993,6.704838709677419,405,6.532258064516129,,,,,,,,,,,,,,,,,,,"Robert Garcia","23363",676395
"Trevor McDonald","SFG",2.88891,3.24367,3.17198,4.1854,19.2046,8.30032,0,0.756012,0,57.0012,245.813,56.4517,28.8132,26.5081,6.35301,20.1776,0.534197,3.3105,45.0984,7.12064,3.18587,2.23507,1.00309,0.183466,0.0820852,0.10138058662414551,0.253915,1.34435,0.293191,0.705929,,,4.23787,0.509195,0.527257,999,4.08717,-1.27223,0.690677,4.08717,1.27223,4.0791,227.4,3.9894736842105263,232,4.0701754385964914,,,,,,,,,,,,,,,,,,,"Trevor McDonald","26448",686790
"Mick Abel","MIN",4.85963,5.58054,4.59531,4.64138,34.6805,13.2651,0,0.818292,2.6418,91.2673,397.55,87.1984,51.1602,47.0674,12.0668,40.8675,0.52916,3.89666,83.8656,8.27011,4.03,2.05213,1.18992,0.210956,0.102798,0.10815761983394623,0.247171,1.4032,0.292507,0.69177,,,4.48753,0.507108,0.301932,999,1.62398,-2.108,0.454586,1.62398,2.108,4.39388,336.59999999999997,3.6989010989010986,336,3.6923076923076925,,,,,,,,,,,,,,,,,,,"Mick Abel","27756",690953
"Brusdar Graterol","LAD",2.54143,1.36892,0,3.49003,48.0757,0,0.155455,6.48649,0.393649,48.7876,201.992,44.2902,20.564,18.9189,4.01793,13.6446,1.05093,2.08477,40.8116,7.52864,2.51706,2.99104,0.7412,0.202046,0.0675504,0.13449571281671524,0.237784,1.18749,0.284745,0.714414,,,3.49994,0.503215,0.473068,999,1.47884,-1.88571,1.11142,1.47884,1.88571,3.5181,257,5.244897959183674,251,5.122448979591836,,,,,,,,,,,,,,,,,,,"Brusdar Graterol","20367",660813
"A.J. Minter","NYM",3.49663,2.80767,0,3.41019,52.0318,0,1.67722,21.174,2.88205,53.8577,221.816,44.3733,22.1818,20.4072,5.85127,19.0063,0.901371,1.71015,59.6807,9.97306,3.17608,3.14005,0.977788,0.269055,0.085685,0.18337034434080124,0.220654,1.1768,0.284154,0.746502,,,3.48521,0.501697,0.639885,999,1.79371,-1.50059,0.945362,1.79371,1.50059,3.73952,362.4,6.71111111111111,343,6.351851851851852,,,,,,,,,,,,,,,,,,,"A.J. Minter","18655",621345
"Graham Ashcraft","CIN",4.49415,3.45223,0.526161,4.05576,53.5984,0.719536,1.36896,13.0231,2.74062,63.1609,270.365,62.3893,30.9378,28.4628,6.49144,21.2274,0.504152,2.94955,55.0017,7.83736,3.02476,2.59107,0.924986,0.203435,0.078514,0.12492112815380096,0.253422,1.32387,0.302651,0.706827,,,3.87794,0.49707,0.434084,999,2.35615,-0.741416,0.577034,2.35615,0.741416,4.23062,326.20000000000005,5.177777777777779,332,5.26984126984127,,,,,,,,,,,,,,,,,,,"Graham Ashcraft","27552",668933
