playerid,PlayerName,role,Team,IP_atc,SO_mean,SO_p05,SO_p50,SO_p95,BB_mean,BB_p05,BB_p50,BB_p95,H_mean,H_p05,H_p50,H_p95,ER_mean,ER_p05,ER_p50,ER_p95,W_mean,W_p05,W_p50,W_p95,QS_mean,QS_p05,QS_p50,QS_p95,WHIP_mean,WHIP_p05,WHIP_p50,WHIP_p95,Ks_mean,Ks_p05,Ks_p50,Ks_p95,W_mean_t,W_p05_t,W_p50_t,W_p95_t,QS_mean_t,QS_p05_t,QS_p50_t,QS_p95_t,ERA_mean,ERA_p05,ERA_p50,ERA_p95,K9_mean,K9_p05,K9_p50,K9_p95,BB9_mean,BB9_p05,BB9_p50,BB9_p95
18684,Sandy Alcantara,SP,MIA,188,0.8357800685931795,0.6962411475117809,0.8329105961602776,0.981367531803689,0.2759845196158522,0.19958773037678076,0.2739860750879104,0.3583729117271398,1.0166670891946739,0.8706259674633873,1.0134666822993315,1.1724215174997048,0.4923767598985181,0.38028859811541993,0.4897593986402982,0.6148693893633832,0.056068487114241214,0.028198135927810425,0.05517563923936279,0.08781010546331518,0.06818755108382754,0.0355986999129803,0.06675523691864246,0.10479259877353846,1.292651608810526,1.1256249476684381,1.2899261383013831,1.46557844629275,157.26333333333332,122,156,196,10.556333333333333,5,10,17,12.825,7,12,20,4.431390839086663,3.4225973830387795,4.407834587762684,5.533824504270449,7.522020617338616,6.266170327606028,7.496195365442499,8.832307786233201,2.48386067654267,1.796289573391027,2.4658746757911936,3.225356205544258
18694,Kolby Allard,SP,CLE,14,0.8393209994929256,0.44836252970049245,0.8208622288433396,1.2796715935839744,0.32356311071438204,0.07631978858991444,0.30720838588716176,0.6112309405902501,1.031786070720776,0.5863539654203448,1.0185853230430584,1.5160914739267126,0.5367935411108025,0.22521530704481318,0.5218632549309259,0.8932408863381084,0.04834552783633656,0,0,0.15866852712914017,0.0556501342160128,0,0.0631699452159285,0.1733338445323873,1.355349181435158,0.8450365602597094,1.3421267658323726,1.9115769483572869,11.712,6,11,18,0.6735,0,0,2,0.7773333333333333,0,1,2,4.831141869997222,2.0269377634033185,4.696769294378333,8.039167977042975,7.55388899543633,4.035262767304432,7.3877600595900565,11.517044342255769,2.9120679964294385,0.6868780973092299,2.764875472984456,5.501078465312251
19291,Zac Gallen,SP,ARI,182,0.8687456945352091,0.7324576035140513,0.8667745523100331,1.0155106509322998,0.31942867910162137,0.2376568026348267,0.31734641488920645,0.40945447051669337,1.0053300299399628,0.865240773243514,1.0027534984135507,1.1539646281216167,0.4913390008750695,0.3820142176047163,0.4877799341350114,0.6116940726953187,0.05787925850775566,0.029853114665652714,0.056716667182439055,0.08975881867691095,0.06627521002024696,0.03540442901298598,0.06443302490508011,0.10208412006048224,1.324758709041584,1.1618272972132677,1.3226101601672924,1.4965925198359928,157.97716666666668,123,157,195.05000000000018,10.524166666666666,5,10,17,12.052166666666666,6,12,19,4.422051007875625,3.438127958442447,4.390019407215103,5.505246654257869,7.818711250816882,6.592118431626462,7.8009709707902974,9.139595858390697,2.8748581119145924,2.13891122371344,2.856117734002858,3.6850902346502403
19312,Cal Quantrill,SP,TEX,8,0.6343972979025397,0.23144100109555288,0.6110300689304292,1.1467011038110921,0.42640897243156145,0.1136202677035191,0.4003966086297349,0.8548944856811547,1.2021676159709183,0.5806317086124985,1.184849536952993,1.8797031980278136,0.677207757142737,0.23821314448107914,0.6580506094854259,1.181566946533996,0.042981594393499425,0,0,0.15982129485905971,0.04358055650357515,0,0,0.17959894048866065,1.6285765884024797,0.9032010758023795,1.6080725975641927,2.439165460241088,5.0785,2,5,9,0.3446666666666667,0,0,1,0.3486666666666667,0,0,1,6.094869814284633,2.1439183003297124,5.922455485368833,10.634102518805964,5.709575681122858,2.082969009859976,5.499270620373863,10.320309934299829,3.837680751884053,1.022582409331672,3.603569477667614,7.694050371130392
19316,Eric Lauer,SP,TOR,66,0.9147448461638173,0.700232065977933,0.9085503267208459,1.1462234819802883,0.34628003933721496,0.21589633051835536,0.34243575896948253,0.4907114655111367,0.92944435844939,0.7229887991037189,0.9256832234143734,1.1554042882344382,0.4507663446250194,0.301645844040522,0.4450845032363058,0.6157808557095655,0.059937570757910195,0.01513495933649799,0.0569217280005108,0.11520142153394569,0.06708662829876626,0.015910135323121587,0.06407037496567333,0.12742651095592775,1.275724397786605,1.0315377217891506,1.2705639475170323,1.5445158908178935,60.43683333333333,44,60,79,3.9578333333333333,1,4,8,4.431333333333333,1,4,8,4.056897101625175,2.7148125963646983,4.005760529126752,5.54202770138609,8.232703615474357,6.302088593801397,8.176952940487613,10.316011337822594,3.1165203540349347,1.9430669746651983,3.0819218307253426,4.4164031896002305
19320,Joey Lucchesi,SP,NA,40,0.8278786351564599,0.5648197903187681,0.8205295978060128,1.1187163545641885,0.3803557034477941,0.2064001238213411,0.3715805378190465,0.5819748272165204,0.9789379077307427,0.7062885813156605,0.9708031604230192,1.2734881937044293,0.5064169275765333,0.3042091924636845,0.4988456580062934,0.7333536557937763,0.054451303820288864,0,0.05013852950289943,0.12373888480747273,0.05847529231429306,0,0.051858054238594985,0.13283424331586913,1.3592936111785368,1.0308611929724198,1.3529923524364542,1.7137327221673184,33.091166666666666,22,33,46,2.1765,0,2,5,2.3373333333333335,0,2,5,4.5577523481888,2.7378827321731602,4.489610922056641,6.600182902143986,7.450907716408139,5.083378112868912,7.384766380254115,10.068447191077697,3.423201331030147,1.8576011143920699,3.3442248403714183,5.237773444948683
19350,Dean Kremer,SP,BAL,139,0.8639842013182306,0.7103230023106416,0.8601636866855602,1.0285717551308107,0.29776916327183184,0.20794079653901437,0.2951129823701479,0.39705243512431404,0.9514433849132633,0.7962887164384925,0.947228406441901,1.11658892209441,0.44635703408143285,0.3311886624329173,0.44438250763976495,0.5718159788704288,0.05973122942720208,0.027731925549425527,0.0587654533073044,0.09637577691036658,0.07115425142751342,0.0343433684048049,0.06930502596334956,0.11473040096039129,1.249212548185095,1.0639997905163086,1.2481892069471525,1.438591268277082,120.03266666666667,92,119,151,8.2965,4,8,14,9.889166666666666,5,10,16,4.017213306732896,2.9806979618962557,3.9994425687578845,5.146343809833859,7.775857811864076,6.392907020795774,7.741473180170042,9.257145796177296,2.6799224694464865,1.8714671688511293,2.656016841331331,3.573471916118826
19361,Corbin Burnes,SP,ARI,39,0.8648387910104969,0.6055600366326593,0.8608474606025353,1.141085431303152,0.29548396986882014,0.15268230801888763,0.2906693262305886,0.4562434391362822,0.9096224082828887,0.656797616445106,0.9031414808740129,1.1782639313355057,0.41798266584186183,0.24294682708146578,0.4128364785906,0.609862222477513,0.06266181570316183,0,0.055959804936685786,0.13457227812337028,0.08053783069130975,0,0.07647885165825358,0.1673763308939674,1.2051063781517088,0.9098205054350375,1.1989347393071088,1.5129643506371984,33.764,23,33,46,2.4431666666666665,0,2,5,3.1431666666666667,0,3,6,3.7618439925767566,2.186521443733192,3.7155283073154,5.488760002297617,7.783549119094472,5.450040329693934,7.747627145422817,10.269768881728368,2.6593557288193814,1.3741407721699888,2.6160239360752975,4.106190952226539
19362,Keegan Akin,SP,BAL,66,0.8843041042530854,0.6628623076456706,0.8795224429605966,1.1201638792775597,0.405170697543478,0.25753373371016197,0.39726659458739333,0.5721687014537538,1.08839503805517,0.8553782148680118,1.0840371300276206,1.3375134545472593,0.6270026541629835,0.4377243394648581,0.620718555108815,0.8379990913561743,0.045043066693335916,0,0.04322587692996541,0.0948379637862884,0.04483138559475043,0,0.042521961555054597,0.09418205926936937,1.493565735598648,1.211901586219933,1.4872087128016758,1.7918292601380206,58.216166666666666,41,58,77,2.9685,0,3,6,2.9506666666666668,0,3,6,5.6430238874668515,3.939519055183723,5.586466995979335,7.541991822205569,7.958736938277768,5.965760768811035,7.915701986645369,10.081474913498036,3.646536277891302,2.3178036033914577,3.57539935128654,5.149518313083783
19374,Walker Buehler,SP,SDP,39,0.6876597816010582,0.4587975974137697,0.681610258986731,0.932442549671872,0.47581007706785716,0.2843512014755384,0.4690700122754261,0.6807968966134406,1.1667652587749737,0.8691249393110436,1.1566987466023715,1.4773834245095108,0.6785979990837361,0.4444711825489767,0.6711915665747685,0.9340395028769516,0.04382336689228723,0,0.04169902192440132,0.10569941214394142,0.0416270768217406,0,0.03057610887869565,0.10400929035742226,1.642575335842831,1.292138085150985,1.6353357367146715,2.0075891043535044,26.790333333333333,17,26,37,1.7056666666666667,0,2,4,1.6248333333333334,0,1,4,6.107381991753625,4.00024064294079,6.040724099172917,8.406355525892565,6.188938034409524,4.129178376723927,6.134492330880579,8.391982947046849,4.282290693610714,2.5591608132798456,4.221630110478835,6.127172069520965
19407,Ronel Blanco,SP,HOU,17,0.9338203290783419,0.5453407250566201,0.9225724247667559,1.3617231347831422,0.39876395358448624,0.16030874728194866,0.38653353692988,0.6837903063701872,0.8407078857094468,0.4800155960242203,0.831704908652648,1.2345461507917064,0.3888615785377195,0.14080503814394466,0.37829907750862335,0.6706948612006297,0.0657398851148894,0,0.05807636409491337,0.18652615675899203,0.07556002730103606,0,0.060647496026672396,0.1989580612536958,1.239471839293933,0.7892960852310545,1.2299589115925096,1.7116547139772793,15.897,9,16,24,1.1183333333333334,0,1,3,1.2861666666666667,0,1,3,3.4997542068394756,1.267245343295502,3.40469169757761,6.036253750805668,8.404382961705076,4.9080665255095814,8.303151822900803,12.25550821304828,3.588875582260376,1.442778725537538,3.4788018323689203,6.154112757331685
19409,Dane Dunning,SP,SEA,21,0.8233022745174396,0.5036583741343887,0.8127232969993452,1.175251175455098,0.3989268253896966,0.18049759416120906,0.39001546364188105,0.6545151623105593,1.0354568782101512,0.6687312377701713,1.0297408937112462,1.4260821830581325,0.5502236730021087,0.282139051602333,0.5416461184809571,0.8450899698945948,0.051318406542436384,0,0.046991083753044824,0.14659985839990705,0.05147339319284766,0,0.04714559096130885,0.146489331802919,1.434383703599848,0.999084099778806,1.42641697608148,1.8876679664115412,17.2805,10,17,25,1.0773333333333333,0,1,3,1.0828333333333333,0,1,3,4.952013057018979,2.539251464420997,4.874815066328614,7.605809729051353,7.409720470656957,4.532925367209499,7.314509672994107,10.577260579095883,3.5903414285072692,1.6244783474508815,3.5101391727769293,5.890636460795034
